text,sentiment
@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,positive
@AmericanAir #last #flight #ever on #AA. You botched this weather delay to the point of absurdity. I'd pay more to fly @Delta,negative
@JetBlue received a voucher but if you want to improve relations be up front with passengers.,negative
@AmericanAir it's flight 5348,neutral
@united yes I have,negative
@AmericanAir they will just say dumb things to beat around the bush ! If you're flight Cancelled Flightled be prepared for no compassion from them,negative
@united yes was trying to upgrade my seat. Now there are no available spots,negative
@SouthwestAir You completely let me down tonight. Your gate agents' ambivalence is just too much. How sad for you (&amp; me.),negative
"@USAirways very disappointed I wasn't ""allowed"" to change seats after checking in early online for a flight tomorrow morning.",negative
@USAirways any updates on flight 1917 from Philly to LA?  Been sitting at gate for close to 2 hours,negative
@JetBlue your wifi is a lie and i hate you,negative
@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!,positive
@USAirways got through on the phone. usair Cancelled Flightled her return flights because she missed a flight on her way out. they took care of it,neutral
"@united I can�۪t go back to the airport, I�۪m working, and won�۪t have time.  Are you telling me there is seriously no other way?",negative
@JetBlue you quite possibly ruined my entire first day in South Florida bc of your disorganization. #GetItTogether,negative
"@SouthwestAir Thanks so much. Appreciate your kindness in adjusting our reservation. Even during snowstorms, I still prefer Southwest. _�ԍ",positive
@USAirways How will I change it?,neutral
@united is screwing with my flights again at CAE? Why do you bother having flights here if they never leave on time or get Cancelled Flighted?,negative
@SouthwestAir want to pick up a customer from @SpiritAirlines sign me up _٪�_��,negative
@USAirways @AmericanAir for frequent flyer miles can we schedule interchangeably and get credit?,neutral
@united not completely.  Our flight was changed in July but we never received notification.,negative
"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN",negative
@united I need assistance. Due to your incompetence I need to reschedule a connection. I will NEVER fly @United again.,negative
@AmericanAir not anymore.,negative
"@USAirways I'm on vacation, This is the LAST thing I want to be doing. Is anyone even answering the phone?",negative
"chair #selfie ""@JetBlue: @StacyCrossB6 @PHLAirport @SaharaSams  Everyone looks #FLAWLESS ;) We're so PROUD of our PHL crew! #BlueHeros�۝",positive
"@USAirways flight US1562 from RIC2DFW was Cancelled Flightled yesterday &amp; I was on hold w/ cust. service from 6-10pm EST...4 hours, no answer...",negative
@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _ٍ�_�ԍ_�ռ����,neutral
@JetBlue well I'm glad I got up at 5 am so I can sit in an airport.  No place else I'd rather be (not),negative
"@JetBlue CEO weighs profits, flyers - @ChronicleHerald (registration) http://t.co/9vKj9S7jrM",neutral
"@USAirways YOU ARE AMAZING!!! FOLLOW ME BACK, PLEASE!!!_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�_٪�",positive
@united ua1673 still waiting! Supposed to depart 9:08,negative
@AmericanAir it's not about the delay.  It's about the communication.,negative
@JetBlue hope so! looks nice and warm in San Juan _�Ϋ,neutral
@united it's messed up to refuse to wait 10 min after united is at fault for delay but to leave early is absolutely disgusting.,negative
@united how are conditions in BOS today? I'm in UA994. Everything appears to be in time but I wanted to check.,neutral
"@united Okay, just requested to follow.",neutral
@united your seats are god awful.,negative
"@AmericanAir now I have to wait ""more than 60 minutes""",negative
@united bags arrived - I sure miss the customer focused days when I used to fly @ContinentalAir1 Here's hoping @united wakes up,negative
@USAirways so I was just told I was coded as an upgrade... I clearly purchased this seat with my miles and refuse to downgrade. #ripoff,negative
@JetBlue we are bringing 2 guitars. can we bring them as carry on?,neutral
@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :),positive
"@JetBlue It drops 75 when i take off the other two people, and vice versa. back and forth.",neutral
"@united http://t.co/hj5kq82Chn, however, is completely under your control���the price was and still is displayed on http://t.co/hj5kq82Chn.",negative
@USAirways have checked all day.  CHO needs added.  Please evaluate.,negative
@united I was just calling the Global Services help desk so via phone.,neutral
@AmericanAir Huge thanks for fixing our flights! appreciate the customer service. now if only i could get seats assigned: me next to my wife,positive
���@JetBlue: @Analystdoc Unfortunately that's not an available option with our current system. Sorry guys. That's a certain #fail Fix it plz.,negative
@JetBlue trivia contest to win flight. 1 question. RT and Follow &amp; I'll send you answer to enter. http://t.co/AucSYKFUHD via @WSJPlus,neutral
"@SouthwestAir Guys, we've got to do something about the inability to check in online for international  flight that has... (1/2)",neutral
"@SouthwestAir yes, thank you. Just sent DM.",neutral
@united As a Million Miler I've been delayed plenty. NEVER in the amateurish way@SilverAirwsys does it. I'd be embarrassed to be affiliated.,negative
"@AmericanAir @united contact me, or do something to alleviate this terrible, terrible service. But no, your 22 year old social media guru",negative
@SouthwestAir might be the worst airline ever,negative
@AmericanAir five times at last count,negative
"@USAirways @AskPayPal completed. If that's the case then why does it still say ""in progress"" on Paypal's website. I reserved on the 13th.",negative
@united we've been waiting 45 min for a gate at SFO... Yet so many of them are free.  Your excellence in operational efficiency is showing,negative
"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?",negative
@SouthwestAir is this a sick joke? #toyingwithouremotions,negative
@USAirways We're back at a gate. Opposite of wheels up. Im sure we'll get thete eventually. So thanks.,positive
@united I have to go back home! I have to use what the company has available. But it's unfair to stay more than 24 h traveling,negative
@JetBlue 266 at LGB in Sunny So Cal http://t.co/V015PK7DSi,neutral
@VirginAmerica Your website is down and I'm trying to check in!,negative
@USAirways screwed me up big. 1st flight 1hr Late Flight. Made it to 2nd flight. CSM daryl wouldn't let me on the plane because we were (1/4),negative
"@SouthwestAir you call this customer service?? Sitting in the tarmack for 1hr, lost bag, and you give me a $100. voucher???",negative
"@united  delayed about 8 hours because of missed connections due to mechanical issues on 1st flight. rebooked, but please call me 9148445695",negative
@JetBlue @Cayman_Islands  I know that bar :)  Wish I was there now!,positive
@SouthwestAir heyo! What is causing flight 1836 ewr to hou to be delayed?,negative
@usairways &amp; @AmericanAir planes in #grandcayman http://t.co/GX7QbtckBr,neutral
@JetBlue ...and when did your legal department start running your social media channels?,neutral
@USAirways is flt 680 en route to DCA or BWI after diverting to RDU. Your phone service  sucks and your website is conflicting.,negative
@JetBlue thank you for getting me home. And despite all odds I have reunited with my delinquent Southwest luggage. Now homeward,positive
"@SouthwestAir By the way the flight number was 1703, please feel free to fact check my complaints about leave time &amp; baggage time.",negative
"@JetBlue 1472, FLL to LGA. This is getting old. 4th @JetBlue flight in 2.5 weeks, 4th significant delay.",negative
@united And there is no direct phone number for status match desk? I really regret Flight Booking Problems with @united now.,negative
@jetblue are going to let Fl382 into a gate in BOS any time soon? We're just sittin' here on the tarmac  waiting.,negative
@united 1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know,negative
@SouthwestAir Don't apologize. Do something about it. Words mean nothing. Actions work. EOM.,negative
Reply to @united - Doesn't do any good to check outlets preflight when moved to different equipment after boarding due to malfunction.,negative
"@AmericanAir flight from DC to LA, not to mention fix the circuit breaker in our bathrooms because this plane is as old as me...",negative
Thanks @united. @imran_r44 had a question about the wait time for baggage on UA6366,neutral
@SouthwestAir hope your flyers get a credit of some sort for all the delays and Cancelled Flightlations #shittydeal #notimpressed,negative
@JetBlue Whoa! No tag and you still saw my tweet. Flight 105 JFK to Chicago. Trying to get home to see my little brother wrestle!,negative
@USAirways I have submitted my request. I would appreciate a call by 9am eastern. Thank you.,neutral
@southwestair this inflight WIFI is the absolute worst. I'd be willing to have paid double for dialup speeds...  #Flight7,negative
@USAirways PLANS CHANGED! IS THAT WHAT U CALL NOT BEIN ABLE 2 PARK ON TIME PLANES W A 2 HR LAYOVER N B ABLE 2 MAKE UR CONNECTION! #seriously,negative
@united what a joke. Hang up on customers!!,negative
@AmericanAir hey! I have a name issue on my reservation can you help?,negative
@USAirways then why did my whole team be able to put there carry ons under the plane,negative
@united I'm try to upgrade my seats to first class but the wait time on the phone is 40 minutes... can you help?,negative
@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.,negative
���@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy�۝ @asarco_ES_ar ? _٪�,neutral
@SouthwestAir 2 bags fly free!  So what's with all the carry-on's? #packingayak @BrianReganComic,negative
@JetBlue are we good?,neutral
@SouthwestAir Hi Guys good morning how are you doing,positive
@united been sitting on this plane 3:15 unreal. When will my 2+ day nightmare end?,negative
@JetBlue thanks!!,positive
@USAirways citizen. I fly your airline constantly and am so offended.  Derrick Bussey. Now Im crying on this airplane because I'm so upset,negative
"@JetBlue gorgeous day, hope the flight back tomorrow AM is just as pleasant! Thanks",positive
@JetBlue I would drive 2 1/2 hours to jfk to board JetBlue to Vegas instead of closer Hartford airport. Cramming more seats on plane.NO MORE,negative
@SouthwestAir sure can! Just a second.,neutral
@united man I can't wait to book my ticket now! Thanks JP you're a life sabe,positive
@AmericanAir Can't help now as all seats have been taken.  There has to be a way to handle high volume of call days.,negative
@united It's a shame choosing #United may be the difference between reuniting with aging friends and never seeing them again #PoorService,negative
@SouthwestAir you are a bunch of liars! Cancelled Flightled our flight and rebooked us four days Late Flightr!,negative
"@AmericanAir i was also told by agents my issues ""aren't their prob"" K fine. I get it. But have some compassion 4 others dealing w/this!!!",negative
@AmericanAir I can't get ahold of aadvantage reservations.  I need to ticket a reservation that Cancelled Flights soon.  can you help?,neutral
"@USAirways your app is bad, and you should feel bad.",negative
@JetBlue whats going on with flight 2034.  Delayed beyond 834.  Shouldnt thre flights switch at that point?,negative
@united My feedback and concerns via your site aren�۪t going to improve my poor airport experiences.,negative
@SouthwestAir Free TV watching Daytona 500! #Boss http://t.co/SbGBN7oUXy,neutral
@SouthwestAir on hold now for 1 Hour 25 mins Whats the holdup,negative
"@united SF crew lack a lot of customer service, LAX employees are a lot better. Wonder why...",negative
@SouthwestAir your employees at BWI have been amazing!,positive
"@USAirways I understand that, and when I'm attempting to change the information so they are identical, it tells me to call a #",neutral
@AmericanAir thanks for the update,positive
@JetBlue Thank you for the service credit. And to @PamGrout for positive thoughts.,positive
@united Hi there bag ID is UA6016053916 can you update me and explain why is occurred when I arrived 4 hours before flight!,negative
@USAirways please hold 3923! I can see it. Just can't get off my first plane quick enough,neutral
@united pls follow for DM,neutral
"@AmericanAir still no reply to my email sent on 11th February. Even sent an email asking for acknowledgment that's it been recieved, nothing",negative
@USAirways 2102 DCA-BOS. Cancelled Flightled after making us wait over an hour. If I fly USAir every week can you upgrade my status proactively?,negative
@JetBlue all up to date. Can't update via Google play.,neutral
@AmericanAir I've witnessed a manager named Denise yell at 2 different customers with my same issue. #rude,negative
@JetBlue u suck Big Donkey Balls!,negative
@SouthwestAir  flight at 630 from fll kiosk just opened. Rude attendants because now everyone is Late Flight. http://t.co/2Boh2Mh3cb,negative
@USAirways Is $99 companion ticket benefit of Premier World MasterCard still limited to USAirways flights or do AA now qualify as well?,neutral
@united I�۪ve filled out the form twice. No email. I have a lost item code. Can you verify it was received?,negative
@SouthwestAir Thank you for the tip!,positive
@AmericanAir I'm great thanks keep up the good work,positive
"@AmericanAir machines are broken, lines are out the door for self service, cust. Support, and bag check in.",negative
@united yes I do.,neutral
@VirginAmerica how come ABC is the only one of the network channels you don't have?,neutral
@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12,negative
"@united. If you show available seats, you need to honor that! I shouldnt spend 1hr on phone to hear that ""really there are 3 not 4 seats""",negative
@USAirways Are you not even going to acknowledge that you bumped me from a flight (NOT BECAUSE OF WEATHER I AM IN ARIZONA),negative
@usairways I purchased a $49 upgrade on a flight 2 weeks ago and you gave it to someone else but I have not received a refund. Is this SOP?,negative
@united thanks for reminding me how much easier it is to fly Southwest!  Get more agents at sfo 25!,negative
@JetBlue y'all got prices for the low??,neutral
"@AmericanAir I slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. #slapintheface",negative
@JetBlue exactly why is my flight delayed? 599 BDL to DCA? Can't seem to get an answer,negative
@JetBlue what's the status of flight 1272 diverted to RIC?  When will it depart back for LGA?,neutral
"@united got it, look forward to hearing from you soon",neutral
"@USAirways I wasnt  flying your airline tonight, however a friend was and I was present for her help. I flying United and they could learn.",positive
@SouthwestAir can you follow for quick DM?,neutral
@AmericanAir tried ringing but told me to try again Late Flightr. I'm supposed to be leaving in an hour...,negative
@united My bag reference ID number is IND43728M. Thanks for looking at it.,positive
"@AmericanAir please rebook me from Seattle to Columbus Tue 2/24, locator: KARAAX, name: Mitchell M Neuer",neutral
@AmericanAir two Cancelled Flightled LGA flights. Both by @Delta took off. Looks like I have a new carrier @Delta!,negative
@JetBlue order @FARE (3/3),neutral
@USAirways how about a drink voucher for the next flight?? #winkwink,positive
"@united doing a good thing, holding flight for a few for 11 peeps on Late Flight connecting flight. We'll still make destination on time",positive
"@AmericanAir Ok. We will probably Cancelled Flight our flights then, take a refund, and get home another way. Wednesday won't work for us.",negative
"@SouthwestAir was earlier, for reFlight Booking Problems flight I'm on now. Didn't get a screencap, just said ""unspecified error"" and to call SWA",negative
"@jetblue #philly lost and read program - Our customers get hot tea, great crewmembers, top notch info &amp; now #BOOKS! http://t.co/9rAGncw2Bk",positive
"@USAirways  redeemed themselves!  Flight out at 7:44!!! Had to call and negotiate,  but thank the Lord I'm heading home!!!!!",negative
"@JetBlue Clients got ZERO, in 32 years career never thought this was possible.2 suitcases worth thousands of $$ in Italian clothing robbed.",negative
@united still sucks. I don't understand why you have two cust service agents for a long line at Houston international b gate #unitedsucks,negative
@JetBlue Apparently the pilot had made some announcement about engine trouble and losing fuel too quickly.,negative
@USAirways thanks. _���,positive
"@USAirways Have a 6:05pm flight out of PHL Sat, 2/21. Snow expected. Are we able to switch to an earlier flight without penalty?",neutral
@SouthwestAir Awesome!!! Sending now.,positive
@USAirways been trying to talk with a dividend miles rep for 2 days now. I have been holding for over 2 hours each day. What are my options?,negative
"@united at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!",negative
"@JetBlue You can pass that along to my wife, daughter, daughter's friend, my elderly mother-in-law.  They spent several hours waiting.",negative
@united Thanks for taking care of that MR!! Happy customer.,positive
@united Flight 6212...massive fail! They delaying to transport a crew member causing many to miss connections! Unreal!,negative
"@JetBlue hey awesome peeps, what's up with flight 1159 from Boston? Delayed 3hrs?",negative
@JetBlue Yup. MCO. 82�!!,neutral
@USAirways First class no snack basket was catered so drinks only No preflight drink or coathanging 1st drink service 50 min after take off,negative
@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed,negative
@SouthwestAir yall have me sleeping in the airport until 4pm tomorrow! thanks,negative
@AmericanAir thank you for the assistance,positive
"@USAirways lack of communication with other offices, the customer, &amp; yall never update ur systems. U guys are 2 established 4 this mess",negative
@SouthwestAir Just landed in PHL. Row 9 window cover on N366SW could use some LUV. http://t.co/WQZZtIemX0,negative
@JetBlue @vegecomgirl For me it�۪s not until 6/15.,neutral
@USAirways @PeterPiatetsky Ummmm I think US Air's computers@were@down for hours - my flight is 3 hours Late Flight.,negative
"@JetBlue can your people working this contact me, I have a project in the works.",neutral
@AmericanAir @USAirways use the app you say?? http://t.co/WnY9TzsR8N,negative
"@USAirways  ""please call Late Flightr"" is not acceptable - but neither is being on hold for 5+ hrs #onholdwith",negative
@SouthwestAir has become like every other airline #crooked I can't believe they are taking over $500 #shouldwearmasks #shocked,negative
@USAirways ...Loosing a lot of business by using Barclays. I cant believe that you cant apply for a card if you live in Iowa.,negative
@USAirways 799 from AMS to PHL today- 3 of 4 flight attendants were downright rude and hostile and made the 8+ hour flight even worse.,negative
@AmericanAir I'm frustrated by all of the @USAirways attitude toward #ExecPlat members. #thenewamerican,negative
@united our 1 layover itinerary was swapped for a 3 layover itinerary - really?!?,negative
"@united yes, but it's not looking. The ticket agent at out terminal dismissed us and we missed a chance at a Miami flight then to DR",negative
"@USAirways told me I deserved to be delayed because I booked the last flight and then I hear ""the only inconvience is missing your flight""",negative
@USAirways @AmericanAir  Also your on-hold message is trying to sell Valentines Day gifts.  Over a week Late Flight.  Sounds about right for USAir,negative
@USAirways this is so unacceptable. I'm going for the day. Now most of my day will be sitting on your plane. Not to mention there is no air,negative
@AmericanAir after several miss communications I was able to get to ORD but I am not home yet and not sure I will get there due to her error,negative
@AmericanAir I saw it finally come through on the mobile app. However it's for tomorrow and I have meetings tonight that I'm trying to make.,neutral
@JetBlue Thanks for the personalized customer service! #cannedtweet #autoresponse,positive
@USAirways Not a great experience for my first time flying US Airways. Going forward I'll probably be taking my business elsewhere.,negative
_�� RT @JetBlue: Our fleet's on fleek. http://t.co/4KH92mKoTZ,neutral
"@AmericanAir Flt Cancelled Flighted, rescheduled to bad time. Tried 800# 3hrs. Website states can't do online=useless website. Help?",negative
@united Do miles earned with Explorer card count toward lifetime miles?,neutral
@AmericanAir your cabin 'thank you' message reminds people about having choices when they fly. I will be choosing another airline next time.,negative
@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks _���_�ԍ,positive
"@united Just did, thanks for checking! :)",positive
@AmericanAir DFW GATE 16 to BMI agent seriously is beyond incompetent.  Never flying AA again if can be avoided #fail #pathetic,negative
@jetblue trading customer experience for short term $$. So sad for this (previous?) loyal customer. https://t.co/dFmvmiBH4x,negative
@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.,negative
@JetBlue Ok and in Dominican Republic what numbers?,neutral
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,neutral
"@united Beyond frustrated  Sked change = no seats, earlier departure and double layover.  Of course only seats are $$++.  Cust svc no help",negative
"@USAirways Almost 4 hours and coin now. Understand higher call volume, but this is unacceptable.",negative
@AmericanAir  we are going to the police dept due to the sexual assult that your stewardess allowed to occur and your lack of concern,negative
"@united
You really know how to piss people off. Your Farelock option is fake!",negative
"@USAirways Only for one flight, though. The 2nd leg my kids are sitting scattered about the aircraft.",neutral
@USAirways  I will never fly us airways again.,negative
@USAirways hey guys just want to say I had the best flight ever! Thank you so much. I fell asleep and actually had a wet dream.,positive
@Southwestair thanks for leaving me hanging here. #destinationdragons flights all fucked up now. No help?!,negative
@united Y do U not reply to customer refund forms??????????? #unitedairlines,negative
@united please get me off this plane #UA57,negative
"@AmericanAir whenever I cheat on you it goes horribly wrong! I promise, I won't stray anymore. I'm talking about you @Delta!",negative
@united how on earth could you close the united club in Atlanta? What a major #fail at an airport of this size,negative
"@united Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!",negative
@AmericanAir there's a direct from Miami w a seat but u rebooked niece Tuesday. Can't get through on phones? #customerservicefail,negative
@united how about 3659 YUL-ORD?,neutral
"@AmericanAir Flight for tomorrow has already been Cancelled Flightled, what do I do now?",negative
"@united caught earlier flight to ORD. Gate checked bag, and you've lost it at O'Hare. original flight lands in 20minutes. #frustrating!",negative
"@JetBlue Hey friends! Stupid question - Can I split payment methods for a flight purchase? Example: 1/2 debit card, 1/2 BillMeLate Flightr? Thanks!",neutral
@AmericanAir I've been calling your 1800 # all morning to change my name for an upcoming trip but am not able to get through. Please advise!,negative
@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?,negative
"@SouthwestAir haha...yeah i did, just making a joke",neutral
@SouthwestAir I wrote to your customer support on Monday re: a Cancelled Flighted flight but haven't heard back. Any idea what's up? Thanks.,negative
@AmericanAir Aww cool! It's nice to know they are still up above my head then. One of my faves.,positive
@united how else would I know it was denied?,negative
@united no thanks,neutral
@AmericanAir Requiring customers to fill out all the contact information each time seems designed to prevent or limit interaction.,negative
@USAirways you guys have to be the worst. We are flying into Philadelphia and have only two jetways available for an on time plane.#pisspoor,negative
@AmericanAir Trying  to Cancelled Flight fligt 2321 O'Hare to Dallas 12:17pm. High call volume no one answer. Online no confirmation. #thankU,negative
"@JetBlue insensitive? #FoodAllergies are life-threatening. Unsolicited UNEDUCATED opinions are inappropriate, reckless &amp; dangerous to (1/3)",negative
@USAirways really!??,neutral
"@SouthwestAir three cheers to your Denver staff. Don't know if we 
will get out but they're keeping us smiling. http://t.co/RX8z53M7yy",positive
"@JetBlue I like Marie Harf go to Iraiq find ISIS and spread good, and offer resume service to ISIS in order to find jobs @marieharf",neutral
@USAirways @jhughes1025 grrrrrrrr. Couldn't book a flight via calling either :(,negative
@AmericanAir yes there's issues on the site as well unfortunately.,negative
@SouthwestAir @FortuneMagazine Congratulations!,neutral
I feel completely cheated @united. I read your commitment to customer service via website and def did not get service suggested there.,negative
@USAirways disappointment? Making own arrangements for me &amp; my sleeping toddler with zero assistance from USAir is maddening.,negative
"@AmericanAir DM the locator code, thanks.",neutral
@JetBlue I would go anywhere JetBlue goes.,positive
@JetBlue okayyyy. But I had huge irons on way out. Promise no shenanigans?,neutral
@USAirways No thank you. @AmericanAir was responsive &amp; I found alternate travel home.,negative
@USAirways my frustrations are the result of multiple experiences Late Flightly. Currently lost luggage. I want to talk to a real person.,negative
@united Extremely disappointed in #Flight6831. United left crew and pssgrs stranded in rain @ gate with no cover. Left Psngrs 2 depart plane,negative
"@AmericanAir would like to talk to someone, please follow.",neutral
@SouthwestAir On hold with airline 45 min and counting. Service is terrible!,negative
@SouthwestAir but to make us tru to find space in other flights.  This customer service is as bad as @SpiritAirlines.,negative
"@SouthwestAir VERY frustrated. Saw seats avail. online for pref alt. flight, unable to book online, lost those seats during &gt;2 hr phone hold",negative
@JetBlue Learning about your awesome twitter management today in my Social Media Marketing class! keep up the good work! @SXU @PhD_Mama_,positive
"@united ,now you have Cancelled Flightled my wife and daughter's flt?? What's going on? Follow me so I can dm details.",negative
@united wanted to point out that not one United crew has been sympathetic. Questions unanswered. MileagePlus is starting to look like a joke,negative
@SouthwestAir please do something about the speed of your WiFi connections on your planes.  It might as well be non-existent.,negative
@AmericanAir Oh they seem  to have reappeared now lol,neutral
@united the nightmare continues... http://t.co/TsvgbrL15f,negative
"@USAirways its fine. 

Just wondering where my money went...",negative
@JetBlue Walked down the hall to Carousel 8...found all bags sitting there. Still no words from crew...signage still not updated,negative
@united yes there is when you keep getting the same robotic answer.,negative
@AmericanAir our flight attendant announced that we have transportation waiting for us for that flight so I think we'll make it.,neutral
"@JetBlue what are the chances of actually flying out of Charleston today?? Cold, rainy weather in the south of all places...",positive
@JetBlue well I'm not sure I'm that bold! lol or are you saying you didn't believe me?? :P,neutral
@SouthwestAir frustrating indeed especially when no one knows what the issue is....,negative
@USAirways now on hold for 75 minutes.,negative
@SouthwestAir Cancelled Flighting flights 45 minutes before takeoff &amp; sitting for 45 min on the runway of the rescheduled flight #badservice,negative
@AmericanAir how realistic is it to make an 80 minute domestic to international transfer at JFK for a non US citizen?,neutral
"@united on a good note, the 2 employees I encountered @ Newark were fabulous. I was very Late Flight for my connecting flight and they got me on!!!",positive
@USAirways we appreciate auto rescheduling our Cancelled Flightled flight-- but you have nothing sooner than Tuesday? can fly into alternate loc?,negative
@SouthwestAir is having a party in the atl terminal. #letitgo http://t.co/qxTeqZm3yz,neutral
@JetBlue got it wish they would communicate more w us,negative
@united The DEN b44 agent (9:30am) was amazing. The MPAgent at check in? She sucks. @seanMFmadden @PeterStraubMMA @jmercadoMMA @TonySimsMMA,positive
@SouthwestAir I've been on hold almost an hour! I LUV y'all but #ImJustSaying _���_���_��� http://t.co/t6fYyBHjhL,negative
"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf",positive
@USAirways Fabulous - thank you so much! Looking forward to taking to the skies with you! :),positive
@united we will be at the airport first thing in the morning,neutral
@SouthwestAir we've now lost a whole day of our honeymoon... Very disappointed and frustrated with everything.,negative
@USAirways thanks for three Cancelled Flightled flight and making us go from raleigh to charlote to lexington to philly. istead of raleigh to philly,negative
@SouthwestAir Can I do the same thing as changing a ticket by Cancelled Flighting my current ticket &amp; buying a replacement online?,neutral
@SouthwestAir why so expensive to go to Vegas with stops in Late Flight June as I can get non stop for same on competition,negative
@JetBlue my flight 475 Cancelled Flighted due to lavatory problems. Can't confirm if they are gonna get a flight from Boston Logan Int,negative
"@USAirways flight 2031, worst experience we've ever had on a flight. Regretting opening their air miles card #hotterandlongerthanhell",negative
@USAirways want to bump up my seet to first class for two Cancelled Flightlations in 24hrs?? what a joke,negative
"@SouthwestAir ha, ha not a make or break for me either way!",neutral
@united flight to RSW tonight -me &amp;  twin 3 year olds. A pilot who was in row by me stayed to help me get the boys &amp; bags off. Lifesaver!!,positive
"@SouthwestAir if you're going to charge for wifi, do us all a solid and make sure it doesn't take the length of the flight to open a page",negative
@AmericanAir 3611 was supposed to depart at 5:10pm central.  About ready to close the door at 7:34pm central.,negative
@SouthwestAir three hour flight to Orlando and no wifi? Uncool. #firstworldproblems,negative
@USAirways terrible service,negative
"@JetBlue @martysg you *know* how I love you, JB, but honestly, when you have complex feedback, those pull-down sub-option forms=maddening.",negative
@AmericanAir what about flight 1239?,neutral
"@united next time I will not volunteer to let you gate check my bag for space, since you obviously can't deliver it in a timely manner.",negative
"@united Thanks! LOL! #UA6259 will wait for us. Per @flightaware, same tail number as #UA5525 :)",positive
@united never flying with you guys ever again. The customer service is piss poor at best.,negative
@united did I mention one bag is an infant car seat &amp; we've been stuck with yr poor replacement on icy mtn roads,negative
@USAirways Sending thanks to employee Freddie in PHL Admiral Club A East for allowing me to give a day pass to my sibling stuck there today.,positive
@SouthwestAir a companion pass flyer to other airlines because it's being abused @ every airport...,negative
@USAirways flight was full.  1 open middle seat.  Did not want to sit there.  What is your policy?,neutral
@AmericanAir flight 353,neutral
@united How do I get through @TSA to finally board UA 1534?,neutral
@united thank you. We are signed up for notifications. We shall watch and wait! ������,neutral
@JetBlue @dgruber1700  oh wow and I'm complaining about two hour on the run way shucks JetBlue NOT GOOD your service was better than this,negative
@AmericanAir is there not an email address I can send my issue to? you guys screwed up and rebooked my flight to the wrong day!  please help,negative
"@AmericanAir travel week, delays, Cancelled Flightlations, ""if you want to learn more about the merger press 1"", delay my connector in Chicago #deice",neutral
Why doesn't @AmericanAir provide a means for dialogue?  What is the fear that drives this decision?  #worstcustomerserviceever,negative
@AmericanAir is the 24/7 phone line open? On hold for over 2 hours now. Your check-in agents cannot help at the airport itself. Please help.,negative
���@JetBlue: Our fleet's on fleek. http://t.co/8o3SCR5EFW�۝ smh yall expect me to trust a childish airline with my life? #Nah,negative
"@united Thank you for wasting my time &amp; money. Not only will I now arrive 5 hours Late Flight to my destination, but...",negative
@united took this picture on Thursday. #awesome http://t.co/IVGpZSjtkW,positive
"@united worst flights I've ever had. ground crew ignored our plane, made me miss flight and now I have to cover the cost of a hotel. #DEN",negative
"@AmericanAir 
It's not what happens to us that matters...It's our response that matters. Way to drop the ball AA.",negative
@AmericanAir I did. 5 times. With 4 of those being hung up on. The other one it finally sent me to the call back notification. #FixYourStuff,negative
.@VirginAmerica I heard he has a virgin mobile hotspot ;),neutral
@united Lindsay and ??.  Darn.  Terrible memory on my part.  I know they are headed back to IAD and then PIT tonight.,neutral
@SouthwestAir surprise surprise more delays. Seems to be the norm.  Broken down equipment.,negative
@AmericanAir When will the old 777-200 fly ORD-PVG get upgraded?,neutral
@united Thank You,positive
"@USAirways 
Good news, we got fixed.",positive
@united flight 3763 IAd-Sat. We're on the outdoor track for an hour,negative
@AmericanAir love how you can't get an agent on the phone and the automated system hangs up on you,negative
@united how does that help me with my customers that I couldn't meet with (and subsequently lost)?,negative
@USAirways horrible cust service exp at DIA today. Wife waited 3 hrs on the plane b/f flight 695 was Cancelled Flightled. Still waiting for bags.,negative
